doc_id,pos,neg,n_tokens,polarity
KB_JB838_1950-06-25_01-00013.txt,45,0,4770,0.9999999999777779
KB_JB838_1950-06-04_01-00012.txt,45,0,4610,0.9999999999777779
KB_JB838_1950-07-20_01-00010.txt,38,0,4190,0.9999999999736843
KB_JB838_1950-06-04_01-00011.txt,35,0,4176,0.9999999999714286
KB_JB838_1950-12-29_01-00014.txt,29,0,3304,0.9999999999655173
KB_JB838_1950-11-24_01-00015.txt,28,0,3240,0.9999999999642857
KB_JB838_1950-05-20_01-00016.txt,27,0,2620,0.999999999962963
KB_JB838_1950-06-24_01-00011.txt,22,0,3132,0.9999999999545455
KB_JB838_1950-11-28_01-00012.txt,15,0,1614,0.9999999999333333
KB_JB838_1950-06-14_01-00014.txt,6,0,821,0.9999999998333333
KB_JB838_1950-05-24_01-00014.txt,6,0,701,0.9999999998333333
KB_JB838_1950-12-19_01-00014.txt,1,0,9,0.9999999989999999
KB_JB838_1950-02-15_01-00011.txt,100,2,5166,0.9607843137160708
KB_JB838_1950-06-11_01-00015.txt,38,1,3226,0.9487179486936227
KB_JB838_1950-10-15_01-00018.txt,35,1,3036,0.94444444441821
KB_JB838_1950-11-24_01-00013.txt,69,2,4190,0.9436619718176948
KB_JB838_1950-02-25_01-00013.txt,29,1,2556,0.9333333333022222
KB_JB838_1950-07-02_01-00018.txt,26,1,2407,0.9259259258916324
KB_JB838_1950-09-08_01-00012.txt,75,3,4902,0.9230769230650887
KB_JB838_1950-10-27_01-00014.txt,49,2,4365,0.9215686274329105
