doc_id,pos,neg,n_tokens,polarity
KB_JB838_1950-08-01_01-00003.txt,2,41,4486,-0.9069767441649541
KB_JB838_1950-05-16_01-00003.txt,8,23,5229,-0.48387096772632676
KB_JB838_1950-03-11_01-00005.txt,7,20,5423,-0.48148148146364883
KB_JB838_1950-07-05_01-00005.txt,7,20,4932,-0.48148148146364883
KB_JB838_1950-06-22_01-00004.txt,9,23,4894,-0.43749999998632816
KB_JB838_1950-12-16_01-00003.txt,9,20,4476,-0.37931034481450654
KB_JB838_1950-10-28_01-00005.txt,10,21,4826,-0.3548387096659729
KB_JB838_1950-11-21_01-00004.txt,9,16,4540,-0.2799999999888
KB_JB838_1950-11-28_01-00003.txt,13,20,4760,-0.21212121211478424
KB_JB838_1950-11-14_01-00004.txt,14,21,5338,-0.19999999999428572
KB_JB838_1950-12-06_01-00001.txt,7,9,3477,-0.1249999999921875
KB_JB838_1950-03-01_01-00005.txt,22,27,5233,-0.10204081632444816
KB_JB838_1950-08-23_01-00003.txt,19,22,4643,-0.07317073170553243
KB_JB838_1950-10-30_01-00003.txt,13,15,4415,-0.07142857142602041
KB_JB838_1950-12-02_01-00004.txt,15,17,4849,-0.06249999999804688
KB_JB838_1950-03-19_01-00001.txt,10,9,3604,0.052631578944598335
KB_JB838_1950-03-31_01-00006.txt,17,14,4302,0.09677419354526536
KB_JB838_1950-06-29_01-00002.txt,34,28,5452,0.09677419354682623
KB_JB838_1950-07-02_01-00002.txt,38,29,5704,0.13432835820695033
KB_JB838_1950-05-03_01-00006.txt,19,14,5284,0.15151515151056016
